Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Latitude,Longitude,Order City,Order Country,Order State
77202,2018-02-03 22:56:00,Standard Class,3,4,Advance shipping,0,18.2514534,-66.03705597,Bekasi,Indonesia,Java Occidental
75939,2018-01-18 12:27:00,Standard Class,5,4,Late delivery,1,18.27945137,-66.0370636,Bikaner,India,Rajastán
75938,2018-01-17 12:06:00,Standard Class,4,4,Shipping on time,0,37.29223251,-121.881279,Bikaner,India,Rajastán
75937,2018-01-16 11:45:00,Standard Class,3,4,Advance shipping,0,34.12594605,-118.2910156,Townsville,Australia,Queensland
75936,2018-01-15 11:24:00,Standard Class,2,4,Advance shipping,0,18.25376892,-66.03704834,Townsville,Australia,Queensland
75935,2018-01-19 11:03:00,Standard Class,6,4,Shipping canceled,0,43.01396942,-78.87906647,Toowoomba,Australia,Queensland
75934,2018-01-15 10:42:00,First Class,2,1,Late delivery,1,18.24253845,-66.03705597,Guangzhou,China,Guangdong
75933,2018-01-15 10:21:00,First Class,2,1,Late delivery,1,25.92886925,-80.16287231,Guangzhou,China,Guangdong
75932,2018-01-16 10:00:00,Second Class,3,2,Late delivery,1,18.23322296,-66.03705597,Guangzhou,China,Guangdong
75931,2018-01-15 09:39:00,First Class,2,1,Late delivery,1,37.77399063,-121.966629,Guangzhou,China,Guangdong
75930,2018-01-19 09:18:00,Second Class,6,2,Shipping canceled,0,18.28284454,-66.03705597,Tokio,Japón,Tokio
75929,2018-01-18 08:57:00,Second Class,5,2,Late delivery,1,40.65486527,-73.58707428,Manado,Indonesia,Célebes Septentrional
75928,2018-01-17 08:36:00,Second Class,4,2,Late delivery,1,36.6763382,-121.656517,Manado,Indonesia,Célebes Septentrional
75927,2018-01-15 08:15:00,First Class,2,1,Late delivery,1,18.27843857,-66.03705597,Sangli,India,Maharashtra
75926,2018-01-15 07:54:00,First Class,2,1,Late delivery,1,42.52627564,-70.92703247,Sangli,India,Maharashtra
75925,2018-01-15 07:33:00,First Class,2,1,Late delivery,1,18.28404999,-66.03705597,Sangli,India,Maharashtra
75924,2018-01-18 07:12:00,Second Class,5,2,Late delivery,1,18.3957901,-65.87288666,Seúl,Corea del Sur,Seúl
75923,2018-01-15 06:51:00,First Class,2,1,Late delivery,1,33.89869309,-118.1745605,Jabalpur,India,Madhya Pradesh
75922,2018-01-15 06:30:00,First Class,2,1,Late delivery,1,18.233778,-66.0370636,Jabalpur,India,Madhya Pradesh
75921,2018-01-13 18:09:00,Same Day,0,0,Shipping on time,0,42.04830551,-87.96134186,Jabalpur,India,Madhya Pradesh
75920,2018-01-13 17:48:00,Same Day,0,0,Shipping on time,0,33.78245163,-118.1922455,Jabalpur,India,Madhya Pradesh
75919,2018-01-18 05:27:00,Standard Class,5,4,Late delivery,1,18.28337669,-66.03705597,Jabalpur,India,Madhya Pradesh
75918,2018-01-17 05:06:00,Second Class,4,2,Late delivery,1,38.61177445,-121.2828674,Geelong,Australia,Victoria
75917,2018-01-16 04:45:00,Second Class,3,2,Shipping canceled,0,18.20733643,-66.03705597,Geelong,Australia,Victoria
75916,2018-01-15 04:24:00,Second Class,2,2,Shipping canceled,0,45.78831101,-108.5594101,Brisbane,Australia,Queensland
75915,2018-01-19 04:03:00,Second Class,6,2,Late delivery,1,18.26163292,-66.03705597,Mandurah,Australia,Australia Occidental
75914,2018-01-18 03:42:00,Second Class,5,2,Late delivery,1,41.23545456,-75.86985779,Mandurah,Australia,Australia Occidental
75913,2018-01-17 03:21:00,Standard Class,4,4,Shipping on time,0,18.27022362,-66.0370636,Guilin,China,Guangxi
75912,2018-01-16 03:00:00,Standard Class,3,4,Advance shipping,0,41.86886215,-84.57365418,Guilin,China,Guangxi
75911,2018-01-15 02:39:00,Standard Class,2,4,Advance shipping,0,33.90942383,-118.1253586,Guilin,China,Guangxi
75910,2018-01-19 02:18:00,Standard Class,6,4,Late delivery,1,18.27526093,-66.0370636,Guilin,China,Guangxi
75909,2018-01-18 01:57:00,Standard Class,5,4,Late delivery,1,41.86544037,-88.10990143,Delhi,India,Delhi
75908,2018-01-17 01:36:00,Standard Class,4,4,Shipping on time,0,18.28713608,-66.03705597,Delhi,India,Delhi
75907,2018-01-15 01:15:00,First Class,2,1,Late delivery,1,42.39110184,-83.13121796,Suzhou,China,Gansu
75906,2018-01-15 00:54:00,First Class,2,1,Late delivery,1,32.86539459,-96.86858368,Suzhou,China,Gansu
75905,2018-01-15 00:33:00,First Class,2,1,Late delivery,1,18.24074173,-66.03705597,Singapur,Singapur,Singapur
75904,2018-01-15 00:12:00,First Class,2,1,Late delivery,1,40.03171921,-76.87709808,Hubli,India,Karnataka
75903,2018-01-14 23:51:00,First Class,2,1,Late delivery,1,32.81010819,-96.68649292,Wollongong,Australia,Nueva Gales del Sur
75902,2018-01-13 11:30:00,Same Day,1,0,Late delivery,1,18.28604889,-66.03705597,Wollongong,Australia,Nueva Gales del Sur
75901,2018-01-13 11:09:00,Same Day,1,0,Shipping canceled,0,39.68188095,-75.64421082,Wollongong,Australia,Nueva Gales del Sur
75900,2018-01-13 10:48:00,Same Day,1,0,Late delivery,1,34.15893936,-118.1809387,Singapur,Singapur,Singapur
75899,2018-01-13 10:27:00,Same Day,1,0,Late delivery,1,18.28294563,-66.0370636,Singapur,Singapur,Singapur
75898,2018-01-16 22:05:00,Standard Class,4,4,Shipping on time,0,33.81632614,-84.44550324,Medan,Indonesia,Sumatra Septentrional
75897,2018-01-15 21:44:00,Standard Class,3,4,Advance shipping,0,18.24103928,-66.0370636,Medan,Indonesia,Sumatra Septentrional
75896,2018-01-14 21:23:00,Standard Class,2,4,Advance shipping,0,37.49027634,-121.9271088,Canberra,Australia,Territorio de la Capital Australiana
75895,2018-01-18 21:02:00,Standard Class,6,4,Late delivery,1,18.26469612,-66.03705597,Bangalore,India,Karnataka
75894,2018-01-17 20:41:00,Second Class,5,2,Late delivery,1,43.18824005,-77.56706238,Bangalore,India,Karnataka
75893,2018-01-16 20:20:00,Standard Class,4,4,Shipping on time,0,32.753685,-96.86553955,Yiwu,China,Zhejiang
28744,2016-02-29 13:57:00,Second Class,5,2,Late delivery,1,18.38011932,-66.18312836,Mirzapur,India,Uttar Pradesh
45461,2016-10-27 14:39:00,Second Class,2,2,Shipping on time,0,18.23557282,-66.3706131,Bursa,Turquía,Bursa
31115,2016-04-05 04:37:00,Second Class,6,2,Late delivery,1,18.02536774,-66.61303711,Murray Bridge,Australia,Australia del Sur
45766,2016-11-01 01:31:00,Second Class,2,2,Shipping on time,0,18.27383804,-66.37063599,Kartal,Turquía,Estambul
47752,2016-12-01 01:18:00,Second Class,3,2,Late delivery,1,18.2848053,-66.37059021,Ulan Bator,Mongolia,Ulán Bator
50054,2017-01-05 15:47:00,Second Class,5,2,Late delivery,1,18.29496765,-66.37050629,Estambul,Turquía,Estambul
20365,2015-10-31 06:24:00,Second Class,6,2,Late delivery,1,18.25571251,-66.37050629,Raipur,India,Rajastán
36146,2016-06-13 15:12:00,Second Class,2,2,Shipping on time,0,18.23466301,-66.37059784,Pasco,Estados Unidos,Washington
41234,2016-08-29 21:45:00,Second Class,5,2,Late delivery,1,18.26268196,-66.37049866,Los Angeles,Estados Unidos,California
32090,2016-04-19 10:12:00,Second Class,6,2,Late delivery,1,18.28279495,-66.37055969,San Francisco,Estados Unidos,California
