id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
1,6,2025-11-27 00:00:00,2025-11-28 00:00:00,6,40,0,0,Transaction 1 comment
2,7,2024-08-26 00:00:00,2024-08-27 00:00:00,2,81,0,0,Transaction 2 comment
3,9,2025-03-30 00:00:00,2025-03-30 00:00:00,24,-32,13,0,Transaction 3 comment
4,2,2025-06-29 00:00:00,2025-06-29 00:00:00,10,50,12,0,Transaction 4 comment
5,8,2024-11-28 00:00:00,2024-11-29 00:00:00,12,-98,19,0,Transaction 5 comment
6,10,2024-07-11 00:00:00,2024-07-14 00:00:00,16,90,12,6,Transaction 6 comment
7,1,2025-02-05 00:00:00,2025-02-06 00:00:00,8,27,17,0,Transaction 7 comment
8,3,2024-10-26 00:00:00,2024-10-31 00:00:00,12,34,18,0,Transaction 8 comment
9,6,2024-04-10 00:00:00,2024-04-13 00:00:00,1,-15,0,0,Transaction 9 comment
10,2,2025-01-09 00:00:00,2025-01-13 00:00:00,20,23,14,18,Transaction 10 comment
11,10,2025-06-26 00:00:00,2025-06-28 00:00:00,21,46,0,18,Transaction 11 comment
12,8,2024-12-15 00:00:00,2024-12-15 00:00:00,20,82,0,0,Transaction 12 comment
13,2,2024-09-18 00:00:00,2024-09-22 00:00:00,7,-26,14,27,Transaction 13 comment
14,4,2024-06-18 00:00:00,2024-06-22 00:00:00,7,39,17,0,Transaction 14 comment
15,7,2024-03-06 00:00:00,2024-03-08 00:00:00,25,19,12,20,Transaction 15 comment
16,8,2024-04-24 00:00:00,2024-04-24 00:00:00,8,-86,3,0,Transaction 16 comment
17,7,2025-04-30 00:00:00,2025-05-03 00:00:00,14,35,0,1,Transaction 17 comment
18,5,2025-09-10 00:00:00,2025-09-11 00:00:00,24,50,16,22,Transaction 18 comment
19,9,2025-02-19 00:00:00,2025-02-23 00:00:00,2,16,8,0,Transaction 19 comment
20,1,2024-05-07 00:00:00,2024-05-12 00:00:00,7,51,20,0,Transaction 20 comment
21,4,2024-08-08 00:00:00,2024-08-12 00:00:00,17,65,0,11,Transaction 21 comment
22,6,2025-09-21 00:00:00,2025-09-21 00:00:00,3,32,0,0,Transaction 22 comment
23,8,2025-10-08 00:00:00,2025-10-09 00:00:00,2,-48,2,0,Transaction 23 comment
24,4,2025-11-03 00:00:00,2025-11-08 00:00:00,8,-12,20,13,Transaction 24 comment
25,9,2024-11-27 00:00:00,2024-11-29 00:00:00,10,86,4,25,Transaction 25 comment
26,2,2024-06-22 00:00:00,2024-06-27 00:00:00,15,-3,0,0,Transaction 26 comment
27,9,2025-08-11 00:00:00,2025-08-16 00:00:00,4,10,15,9,Transaction 27 comment
28,1,2024-03-06 00:00:00,2024-03-10 00:00:00,2,49,0,0,Transaction 28 comment
29,8,2025-09-01 00:00:00,2025-09-04 00:00:00,14,-67,0,12,Transaction 29 comment
30,9,2025-12-01 00:00:00,2025-12-02 00:00:00,15,-30,0,0,Transaction 30 comment
31,2,2025-04-21 00:00:00,2025-04-24 00:00:00,12,62,0,5,Transaction 31 comment
32,2,2025-08-10 00:00:00,2025-08-15 00:00:00,11,-29,0,0,Transaction 32 comment
33,1,2024-01-05 00:00:00,2024-01-05 00:00:00,25,-68,17,24,Transaction 33 comment
34,9,2025-01-03 00:00:00,2025-01-04 00:00:00,15,26,0,16,Transaction 34 comment
35,1,2025-02-03 00:00:00,2025-02-07 00:00:00,8,-34,11,0,Transaction 35 comment
36,4,2025-01-09 00:00:00,2025-01-09 00:00:00,24,-31,0,0,Transaction 36 comment
37,1,2025-10-22 00:00:00,2025-10-24 00:00:00,4,80,16,0,Transaction 37 comment
38,1,2024-09-01 00:00:00,2024-09-02 00:00:00,6,11,0,0,Transaction 38 comment
39,1,2024-12-28 00:00:00,2024-12-30 00:00:00,12,-3,0,0,Transaction 39 comment
40,3,2024-09-28 00:00:00,2024-09-30 00:00:00,22,16,16,26,Transaction 40 comment
