id,supplier_ids,product_code,product_name,description,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments
1,6,PRD-0001,Product 1 - Meat/Poultry,High quality product description for item 1,6.64,11.57,39,210,11 units,0,65,Seafood,
2,5,PRD-0002,Product 2 - Meat/Poultry,High quality product description for item 2,14.14,14.15,10,223,18 units,0,69,Supplements,
3,2,PRD-0003,Product 3 - Beverages,High quality product description for item 3,24.30,86.75,48,155,15 units,0,57,Grains/Cereals,
4,1,PRD-0004,Product 4 - Confections,High quality product description for item 4,41.42,58.29,22,256,19 units,0,96,Produce,
5,7,PRD-0005,Product 5 - Beverages,High quality product description for item 5,45.22,35.45,38,347,6 units,0,40,Office Supplies,
6,4,PRD-0006,Product 6 - Supplements,High quality product description for item 6,23.07,16.63,30,398,16 units,0,35,Grains/Cereals,
7,2,PRD-0007,Product 7 - Office Supplies,High quality product description for item 7,17.52,62.66,16,269,7 units,0,96,Seafood,
8,10,PRD-0008,Product 8 - Meat/Poultry,High quality product description for item 8,33.57,51.97,20,163,21 units,0,15,Seafood,
9,10,PRD-0009,Product 9 - Beverages,High quality product description for item 9,8.26,29.15,13,189,10 units,0,41,Supplements,
10,7,PRD-0010,Product 10 - Produce,High quality product description for item 10,10.55,15.01,34,350,5 units,0,27,Beverages,
11,7,PRD-0011,Product 11 - Grains/Cereals,High quality product description for item 11,24.80,80.16,27,187,3 units,0,35,Beverages,
12,6,PRD-0012,Product 12 - Produce,High quality product description for item 12,43.31,47.65,37,392,4 units,0,84,Supplements,
13,6,PRD-0013,Product 13 - Confections,High quality product description for item 13,14.78,82.21,10,212,10 units,0,47,Beverages,
14,10,PRD-0014,Product 14 - Dairy Products,High quality product description for item 14,19.64,56.86,34,362,17 units,0,56,Confections,
15,7,PRD-0015,Product 15 - Dairy Products,High quality product description for item 15,34.03,39.67,30,257,9 units,0,92,Supplements,
16,10,PRD-0016,Product 16 - Confections,High quality product description for item 16,17.17,15.78,22,469,2 units,0,77,Seafood,
17,9,PRD-0017,Product 17 - Confections,High quality product description for item 17,40.18,16.29,26,401,20 units,0,76,Supplements,
18,6,PRD-0018,Product 18 - Grains/Cereals,High quality product description for item 18,48.26,58.61,28,238,21 units,0,67,Confections,
19,7,PRD-0019,Product 19 - Produce,High quality product description for item 19,31.96,97.28,40,183,1 units,0,82,Condiments,
20,5,PRD-0020,Product 20 - Dairy Products,High quality product description for item 20,46.83,79.57,43,287,15 units,0,77,Condiments,
21,3,PRD-0021,Product 21 - Produce,High quality product description for item 21,43.30,41.05,48,464,3 units,0,72,Meat/Poultry,
22,10,PRD-0022,Product 22 - Grains/Cereals,High quality product description for item 22,39.93,21.67,38,129,24 units,0,56,Beverages,
23,1,PRD-0023,Product 23 - Confections,High quality product description for item 23,8.55,56.76,22,313,8 units,0,21,Grains/Cereals,
24,1,PRD-0024,Product 24 - Dairy Products,High quality product description for item 24,27.03,93.11,46,113,2 units,0,51,Grains/Cereals,
25,5,PRD-0025,Product 25 - Seafood,High quality product description for item 25,44.08,95.90,37,392,7 units,0,93,Supplements,
