id,purchase_order_id,product_id,quantity,unit_cost,date_received,posted_to_inventory,inventory_id
1,14,25,107.19,9.06,2024-04-30 00:00:00,0,1
2,15,15,162.36,31.60,2024-03-06 00:00:00,1,2
3,11,19,257.27,37.43,2024-02-09 00:00:00,1,3
4,19,8,52.50,28.65,2024-05-11 00:00:00,1,4
5,5,21,124.88,42.67,2025-05-27 00:00:00,1,5
6,10,11,445.56,42.07,2025-07-08 00:00:00,1,6
7,5,15,227.27,17.79,2025-10-27 00:00:00,1,7
8,8,18,151.89,36.07,2025-10-15 00:00:00,0,8
9,9,21,471.27,19.61,2025-09-09 00:00:00,1,9
10,16,25,118.20,43.34,2025-10-06 00:00:00,1,10
11,20,12,484.40,46.30,2024-02-25 00:00:00,0,11
12,16,22,205.08,27.04,2025-05-16 00:00:00,0,12
13,13,18,460.31,9.01,2025-01-23 00:00:00,0,13
14,19,8,121.84,49.59,2024-06-03 00:00:00,0,14
15,12,8,394.47,45.21,2024-01-25 00:00:00,1,15
16,17,13,366.15,45.12,2025-02-27 00:00:00,1,16
17,12,13,278.15,15.99,2025-10-02 00:00:00,1,17
18,10,24,359.97,34.02,2024-09-29 00:00:00,0,18
19,1,10,478.64,16.09,2025-09-08 00:00:00,1,19
20,19,15,400.12,28.25,2025-12-16 00:00:00,0,20
21,11,8,255.47,36.30,2025-11-09 00:00:00,0,21
22,10,22,469.70,42.15,2024-10-30 00:00:00,1,22
23,8,19,420.11,28.56,2025-08-18 00:00:00,0,23
24,1,5,11.31,27.36,2025-02-17 00:00:00,1,24
25,4,13,304.72,5.31,2025-08-15 00:00:00,0,25
26,14,9,62.80,6.88,2025-09-27 00:00:00,1,26
27,9,15,182.92,15.72,2025-04-05 00:00:00,0,27
28,1,4,267.51,37.81,2025-01-06 00:00:00,1,28
29,15,9,97.25,36.04,2025-02-05 00:00:00,0,29
30,10,5,380.67,48.32,2025-06-20 00:00:00,0,30
