product_id,product_name,category,total_orders,total_quantity_sold,total_revenue,avg_selling_price,standard_cost,gross_profit
1,Northwind Traders Chai,Beverages,2,40.0,720.0,18.0,13.5,180.0
3,Northwind Traders Syrup,Condiments,1,50.0,500.0,10.0,7.5,125.0
4,Northwind Traders Cajun Seasoning,Condiments,2,40.0,880.0,22.0,16.5,220.0
5,Northwind Traders Olive Oil,Oil,1,25.0,533.75,21.35,16.0125,133.4375
6,Northwind Traders Boysenberry Spread,"Jams, Preserves",2,100.0,2500.0,25.0,18.75,625.0
7,Northwind Traders Dried Pears,Dried Fruit & Nuts,2,40.0,1200.0,30.0,22.5,300.0
8,Northwind Traders Curry Sauce,Sauces,4,65.0,2600.0,40.0,30.0,650.0
17,Northwind Traders Fruit Cocktail,Canned Fruit & Vegetables,1,40.0,1560.0,39.0,29.25,390.0
19,Northwind Traders Chocolate Biscuits Mix,Baked Goods & Mixes,4,85.0,782.0,9.2,6.9,195.5
20,Northwind Traders Marmalade,"Jams, Preserves",1,40.0,3240.0,81.0,60.75,810.0
21,Northwind Traders Scones,Baked Goods & Mixes,1,20.0,200.0,10.0,7.5,50.0
34,Northwind Traders Beer,Beverages,3,487.0,6818.0,14.0,10.5,1704.5
40,Northwind Traders Crab Meat,Canned Meat,3,120.0,2208.0,18.4,13.8,552.0
41,Northwind Traders Clam Chowder,Soups,4,290.0,2798.5,9.65,7.2375,699.625
43,Northwind Traders Coffee,Beverages,5,650.0,29900.0,46.0,34.5,7475.0
48,Northwind Traders Chocolate,Candy,5,200.0,2550.0,12.75,9.5625,637.5
51,Northwind Traders Dried Apples,Dried Fruit & Nuts,2,40.0,2120.0,53.0,39.75,530.0
52,Northwind Traders Long Grain Rice,Grains,1,40.0,280.0,7.0,5.25,70.0
56,Northwind Traders Gnocchi,Pasta,2,10.0,380.0,38.0,28.5,95.0
57,Northwind Traders Ravioli,Pasta,1,100.0,1950.0,19.5,14.625,487.5
72,Northwind Traders Mozzarella,Dairy `dl_northwind`.`products`,2,90.0,3132.0,34.8,26.1,783.0
74,Northwind Traders Almonds,Dried Fruit & Nuts,1,20.0,200.0,10.0,7.5,50.0
80,Northwind Traders Dried Plums,Dried Fruit & Nuts,4,75.0,262.5,3.5,3.0,37.5
81,Northwind Traders Green Tea,Beverages,4,275.0,822.25,2.99,2.0,272.25
