inventory_transaction_id,transaction_type,product_id,date_key,quantity,purchase_order_id,customer_order_id,transaction_created_date,transaction_modified_date,comments
93,2,5,20060324,25,,,2006-03-24 14:55:39,2006-04-04 11:06:13,
113,1,72,20060404,50,,,2006-04-04 11:03:12,2006-04-04 11:03:12,
114,2,72,20060404,50,,,2006-04-04 11:03:14,2006-04-04 11:08:49,"Fill Back Ordered product, Order #46"
112,2,19,20060404,25,,,2006-04-04 11:02:58,2006-04-04 11:07:37,"Fill Back Ordered product, Order #48"
131,2,72,20060404,40,,,2006-04-04 11:41:39,2006-04-04 11:41:45,
105,1,8,20060404,25,,,2006-04-04 11:01:55,2006-04-04 11:01:55,
121,2,6,20060404,90,,,2006-04-04 11:36:39,2006-04-04 11:36:47,
96,3,34,20060330,12,,,2006-03-30 16:46:34,2006-03-30 16:46:34,
135,2,52,20060404,40,,,2006-04-04 11:43:05,2006-04-04 11:43:08,
85,2,4,20060324,10,,,2006-03-24 14:48:23,2006-04-04 11:41:14,
133,2,8,20060404,3,,,2006-04-04 11:42:24,2006-04-04 11:42:26,
101,2,57,20060404,100,,,2006-04-04 11:00:56,2006-04-04 11:08:49,"Fill Back Ordered product, Order #46"
123,2,48,20060404,40,,,2006-04-04 11:37:45,2006-04-04 11:37:49,
108,2,34,20060404,300,,,2006-04-04 11:02:19,2006-04-04 11:08:14,"Fill Back Ordered product, Order #47"
103,1,43,20060404,250,,,2006-04-04 11:01:35,2006-04-04 11:01:35,
74,1,48,20060324,100,,,2006-03-24 10:53:13,2006-03-24 10:53:13,
107,1,34,20060404,300,,,2006-04-04 11:02:17,2006-04-04 11:02:17,
91,2,40,20060324,50,,,2006-03-24 14:51:03,2006-04-04 11:09:24,
132,2,3,20060404,50,,,2006-04-04 11:42:17,2006-04-04 11:42:26,
52,1,74,20060322,20,,,2006-03-22 16:04:41,2006-03-22 16:04:41,
47,1,21,20060322,20,,,2006-03-22 16:04:20,2006-03-22 16:04:20,
45,1,19,20060322,20,,,2006-03-22 16:04:12,2006-03-22 16:04:12,
59,1,1,20060322,40,,,2006-03-22 16:05:47,2006-03-22 16:05:47,
49,1,41,20060322,40,,,2006-03-22 16:04:28,2006-03-22 16:04:28,
56,1,5,20060322,40,,,2006-03-22 16:05:14,2006-03-22 16:05:14,
36,1,72,20060322,40,,,2006-03-22 16:02:48,2006-03-22 16:02:48,
43,1,14,20060322,40,,,2006-03-22 16:04:02,2006-03-22 16:04:02,
51,1,51,20060322,40,,,2006-03-22 16:04:38,2006-03-22 16:04:38,
46,1,20,20060322,40,,,2006-03-22 16:04:17,2006-03-22 16:04:17,
42,1,8,20060322,40,,,2006-03-22 16:03:54,2006-03-22 16:03:54,
41,1,7,20060322,40,,,2006-03-22 16:03:47,2006-03-22 16:03:47,
57,1,65,20060322,40,,,2006-03-22 16:05:26,2006-03-22 16:05:26,
44,1,17,20060322,40,,,2006-03-22 16:04:07,2006-03-22 16:04:07,
55,1,4,20060322,40,,,2006-03-22 16:05:11,2006-03-22 16:05:11,
53,1,77,20060322,60,,,2006-03-22 16:04:45,2006-03-22 16:04:45,
60,1,34,20060322,60,,,2006-03-22 16:05:51,2006-03-22 16:05:51,
35,1,80,20060322,75,,,2006-03-22 16:02:28,2006-03-22 16:02:28,
39,1,57,20060322,80,,,2006-03-22 16:03:14,2006-03-22 16:03:14,
58,1,66,20060322,80,,,2006-03-22 16:05:32,2006-03-22 16:05:32,
54,1,3,20060322,100,,,2006-03-22 16:05:07,2006-03-22 16:05:07,
40,1,6,20060322,100,,,2006-03-22 16:03:40,2006-03-22 16:03:40,
37,1,52,20060322,100,,,2006-03-22 16:03:04,2006-03-22 16:03:04,
50,1,48,20060322,100,,,2006-03-22 16:04:31,2006-03-22 16:04:31,
61,1,43,20060322,100,,,2006-03-22 16:06:00,2006-03-22 16:06:00,
48,1,40,20060322,120,,,2006-03-22 16:04:24,2006-03-22 16:04:24,
38,1,56,20060322,120,,,2006-03-22 16:03:09,2006-03-22 16:03:09,
62,1,81,20060322,125,,,2006-03-22 16:06:03,2006-03-22 16:06:03,
72,1,81,20060324,200,,,2006-03-24 10:41:30,2006-03-24 10:41:30,
70,2,48,20060322,10,,,2006-03-22 16:11:56,2006-03-24 10:59:41,
65,2,51,20060322,10,,,2006-03-22 16:08:29,2006-03-22 16:08:59,
66,2,80,20060322,10,,,2006-03-22 16:08:37,2006-03-22 16:08:59,
64,2,7,20060322,10,,,2006-03-22 16:08:19,2006-03-22 16:08:59,
67,2,1,20060322,15,,,2006-03-22 16:09:46,2006-03-22 16:10:27,
71,2,8,20060322,17,,,2006-03-22 16:12:29,2006-03-24 10:57:38,
68,2,43,20060322,20,,,2006-03-22 16:10:06,2006-03-22 16:10:27,
69,2,19,20060322,20,,,2006-03-22 16:11:39,2006-03-24 11:00:55,
63,2,80,20060322,30,,,2006-03-22 16:07:56,2006-03-24 11:03:00,
124,2,48,20060404,40,,,2006-04-04 11:38:07,2006-04-04 11:38:11,
117,2,34,20060404,87,,,2006-04-04 11:04:55,2006-04-04 11:05:04,
92,2,21,20060324,20,,,2006-03-24 14:55:03,2006-04-04 11:06:56,
79,2,41,20060324,200,,,2006-03-24 10:54:07,2006-03-24 10:58:40,"Fill Back Ordered product, Order #36"
130,2,74,20060404,20,,,2006-04-04 11:40:32,2006-04-04 11:40:38,
125,2,41,20060404,10,,,2006-04-04 11:38:27,2006-04-04 11:38:32,
102,1,34,20060404,50,,,2006-04-04 11:01:14,2006-04-04 11:01:14,
77,2,43,20060324,300,,,2006-03-24 10:53:39,2006-03-24 10:56:57,"Fill Back Ordered product, Order #38"
89,3,43,20060324,25,,,2006-03-24 14:50:14,2006-03-24 14:50:14,
95,2,40,20060324,30,,,2006-03-24 14:56:09,2006-04-04 11:06:13,
106,2,8,20060404,25,,,2006-04-04 11:01:58,2006-04-04 11:07:37,"Fill Back Ordered product, Order #48"
126,2,43,20060404,5,,,2006-04-04 11:38:48,2006-04-04 11:38:53,
82,1,34,20060324,100,,,2006-03-24 10:54:58,2006-03-24 10:54:58,
81,2,19,20060324,30,,,2006-03-24 10:54:35,2006-03-24 11:02:02,"Fill Back Ordered product, Order #33"
128,2,8,20060404,20,,,2006-04-04 11:39:50,2006-04-04 11:39:53,
97,3,34,20060330,10,,,2006-03-30 17:23:27,2006-03-30 17:23:27,
76,1,43,20060324,300,,,2006-03-24 10:53:36,2006-03-24 10:53:36,
88,3,1,20060324,25,,,2006-03-24 14:50:09,2006-03-24 14:50:09,
78,1,41,20060324,200,,,2006-03-24 10:54:04,2006-03-24 10:54:04,
120,2,17,20060404,40,,,2006-04-04 11:36:15,2006-04-04 11:36:21,
87,3,81,20060324,50,,,2006-03-24 14:49:20,2006-03-24 14:49:20,
94,2,41,20060324,30,,,2006-03-24 14:55:52,2006-04-04 11:06:13,
110,2,19,20060404,10,,,2006-04-04 11:02:39,2006-04-04 11:41:14,"Fill Back Ordered product, Order #42"
80,1,19,20060324,30,,,2006-03-24 10:54:33,2006-03-24 10:54:33,
100,1,57,20060404,100,,,2006-04-04 11:00:54,2006-04-04 11:00:54,
122,2,4,20060404,30,,,2006-04-04 11:37:06,2006-04-04 11:37:09,
134,2,20,20060404,40,,,2006-04-04 11:42:48,2006-04-04 11:43:08,
84,2,6,20060324,10,,,2006-03-24 14:48:15,2006-04-04 11:41:14,
115,1,41,20060404,50,,,2006-04-04 11:03:38,2006-04-04 11:03:38,
118,2,51,20060404,30,,,2006-04-04 11:35:50,2006-04-04 11:35:54,
116,2,41,20060404,50,,,2006-04-04 11:03:39,2006-04-04 11:09:24,"Fill Back Ordered product, Order #45"
111,1,19,20060404,10,,,2006-04-04 11:02:56,2006-04-04 11:02:56,
109,1,19,20060404,25,,,2006-04-04 11:02:37,2006-04-04 11:02:37,
86,3,80,20060324,20,,,2006-03-24 14:49:16,2006-03-24 14:49:16,
104,3,43,20060404,300,,,2006-04-04 11:01:37,2006-04-04 11:01:37,"Fill Back Ordered product, Order #41"
119,2,7,20060404,30,,,2006-04-04 11:35:51,2006-04-04 11:35:54,
73,2,81,20060324,200,,,2006-03-24 10:41:33,2006-03-24 10:41:42,"Fill Back Ordered product, Order #40"
129,2,80,20060404,15,,,2006-04-04 11:40:13,2006-04-04 11:40:16,
127,2,40,20060404,40,,,2006-04-04 11:39:12,2006-04-04 11:39:29,
75,2,48,20060324,100,,,2006-03-24 10:53:16,2006-03-24 10:55:46,"Fill Back Ordered product, Order #39"
136,3,56,20060425,110,,,2006-04-25 17:04:05,2006-04-25 17:04:57,
90,3,81,20060324,25,,,2006-03-24 14:50:18,2006-03-24 14:50:18,
99,2,48,20060403,10,,,2006-04-03 13:50:08,2006-04-03 13:50:15,
83,2,34,20060324,100,,,2006-03-24 10:55:02,2006-03-24 11:03:00,"Fill Back Ordered product, Order #30"
