purchase_order_detail_id,purchase_order_id,supplier_id,employee_id,product_id,date_key,quantity,unit_cost,total_cost,shipping_fee,taxes,payment_amount,status_id,submitted_date,expected_date,payment_date,payment_method,date_received,posted_to_inventory
255,92,2,2.0,51,20060122,40,40.0,1600.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
246,92,2,2.0,17,20060122,40,29.0,1160.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
280,110,1,3.0,43,20060324,250,34.0,8500.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-10,1
247,92,2,2.0,19,20060122,20,7.0,140.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
282,92,2,2.0,19,20060122,20,7.0,140.0,0,0,0,2,2006-01-14 00:00:00,,,,,0
293,146,2,2.0,51,20060426,40,39.0,1560.0,0,0,0,1,2006-04-26 18:26:37,,,,,0
243,92,2,2.0,7,20060122,40,22.0,880.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
240,91,3,2.0,4,20060122,40,16.0,640.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
253,90,1,2.0,43,20060122,100,34.0,3400.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
244,92,2,2.0,8,20060122,40,30.0,1200.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
265,90,1,2.0,81,20060122,125,2.0,250.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
269,99,1,3.0,43,20060122,300,34.0,10200.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
270,100,2,9.0,48,20060122,100,10.0,1000.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
288,140,6,,85,20060425,10,9.0,90.0,0,0,0,2,2006-04-25 00:00:00,,,,,0
249,92,2,2.0,21,20060122,20,8.0,160.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
257,93,5,2.0,56,20060122,120,28.0,3360.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
278,108,2,4.0,8,20060324,25,30.0,750.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-05,1
264,95,4,2.0,80,20060122,75,3.0,225.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
248,92,2,2.0,20,20060122,40,61.0,2440.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
260,91,3,2.0,66,20060122,80,13.0,1040.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
289,141,8,,6,20060425,10,18.75,187.5,0,0,0,2,2006-04-25 00:00:00,,,,,0
