order_detail_id,order_id,customer_id,employee_id,product_id,date_key,quantity,unit_price,discount,total_amount,shipping_fee,taxes
1,11,2,1,24,20250224,35.35,88.1,0.2049,2476.2077585,13.09,59.08
2,6,1,10,3,20250901,22.26,51.22,0.1773,938.00732844,26.56,31.87
3,20,8,8,10,20250821,1.18,15.49,0.164,15.280575199999998,31.62,54.82
4,29,1,8,11,20251221,37.6,43.16,0.2315,1247.134096,31.35,49.77
5,4,9,7,14,20250624,26.04,65.72,0.132,1485.4507584,42.05,6.55
6,30,3,2,8,20240421,26.55,98.18,0.133,2259.990693,32.03,75.52
7,12,11,1,25,20250323,60.41,32.99,0.0863,1820.93639483,14.88,21.33
8,26,10,6,2,20250218,62.39,86.03,0.2228,4171.552373240001,32.21,97.87
9,15,3,7,13,20240306,85.03,43.48,0.2167,2895.94187652,5.59,95.52
10,12,11,1,8,20250323,65.77,35.82,0.1258,2059.51151988,14.88,21.33
11,18,9,5,23,20251204,45.76,22.25,0.0623,954.728632,27.51,9.59
12,28,5,8,22,20251025,53.29,99.87,0.1013,4782.94637601,24.73,46.65
13,23,9,2,24,20250618,78.34,70.93,0.2345,4253.620321100001,9.12,68.06
14,14,11,2,19,20250109,37.85,31.87,0.1726,998.0756583000001,33.91,65.6
15,12,11,1,15,20250323,63.01,27.38,0.1196,1518.8782295199999,14.88,21.33
16,16,1,9,14,20250205,57.2,69.8,0.1961,3209.618984,23.84,72.89
17,5,11,9,13,20250625,86.79,40.36,0.0207,3430.3355209200004,25.25,94.59
18,16,1,9,14,20250205,49.54,53.96,0.1357,2310.42809112,23.84,72.89
19,17,4,9,19,20250218,72.26,85.94,0.1489,5285.35176684,7.76,42.18
20,22,5,7,2,20240515,25.27,81.97,0.1857,1686.72628117,37.5,8.28
21,2,7,9,7,20240404,96.61,61.88,0.1518,5070.73197176,29.46,80.01
22,15,3,7,20,20240306,14.96,10.4,0.0998,140.0567168,5.59,95.52
23,5,11,9,25,20250625,85.34,42.63,0.1954,2927.17036332,25.25,94.59
24,11,2,1,2,20250224,62.14,76.15,0.0125,4672.8114875,13.09,59.08
25,11,2,1,10,20250224,12.15,68.64,0.1575,702.62478,13.09,59.08
26,27,15,3,23,20250206,17.46,54.2,0.1023,849.5222364,47.3,52.26
27,11,2,1,3,20250224,95.15,98.69,0.1851,7652.199067150001,13.09,59.08
28,12,11,1,23,20250323,21.41,38.29,0.0168,806.01644648,14.88,21.33
29,15,3,7,25,20240306,11.97,27.96,0.2209,260.75012292,5.59,95.52
30,22,5,7,16,20240515,13.72,71.03,0.2327,747.75809668,37.5,8.28
31,4,9,7,22,20250624,24.37,99.96,0.1073,2174.63969604,42.05,6.55
32,29,1,8,18,20251221,58.04,77.7,0.0886,4110.147871200001,31.35,49.77
33,9,8,7,2,20240704,89.66,61.35,0.1459,4698.0974780999995,30.14,70.84
34,21,15,10,2,20251017,66.52,20.43,0.1209,1194.70006476,25.84,77.65
35,13,2,2,20,20250419,71.05,39.45,0.1056,2506.933884,8.77,79.71
36,11,2,1,7,20250224,55.12,85.1,0.2451,3541.0184888,13.09,59.08
37,15,3,7,2,20240306,15.0,51.97,0.1196,686.3158199999999,5.59,95.52
38,29,1,8,20,20251221,19.09,11.29,0.132,187.0766548,31.35,49.77
39,25,4,1,3,20240716,98.07,19.56,0.0478,1826.5568882399998,29.0,33.88
40,5,11,9,23,20250625,26.95,94.61,0.1181,2248.6152650500003,25.25,94.59
41,25,4,1,10,20240716,14.18,66.42,0.2382,717.4903600800001,29.0,33.88
42,18,9,5,3,20251204,75.83,67.56,0.092,4651.7519184,27.51,9.59
43,8,11,2,22,20240106,40.02,92.29,0.0189,3623.63967438,23.13,31.41
44,24,5,9,19,20240330,4.04,70.35,0.0297,275.7728442,38.36,42.86
45,30,3,2,8,20240421,88.04,48.2,0.1715,3515.762948,32.03,75.52
46,20,8,8,1,20250821,89.23,52.22,0.2495,3497.0227453,31.62,54.82
47,17,4,9,17,20250218,58.8,15.44,0.0414,870.2860992,7.76,42.18
48,29,1,8,5,20251221,49.85,15.61,0.002,776.602183,31.35,49.77
49,27,15,3,25,20250206,75.15,85.47,0.0875,5861.051831250001,47.3,52.26
50,8,11,2,8,20240106,51.17,11.68,0.0539,565.45142416,23.13,31.41
