id,order_id,invoice_date,due_date,tax,shipping,amount_due
1,16,2025-03-10 00:00:00,2025-04-09 00:00:00,52.30,32.95,1013.86
2,30,2025-01-14 00:00:00,2025-02-13 00:00:00,91.78,5.38,172.36
3,27,2024-01-28 00:00:00,2024-02-27 00:00:00,35.51,41.13,3479.83
4,30,2024-09-20 00:00:00,2024-10-20 00:00:00,96.68,26.81,2013.48
5,8,2025-09-14 00:00:00,2025-10-14 00:00:00,44.62,33.86,704.46
6,30,2024-09-29 00:00:00,2024-10-29 00:00:00,66.72,15.75,1776.19
7,10,2025-02-10 00:00:00,2025-03-12 00:00:00,95.04,33.74,2092.00
8,15,2025-01-31 00:00:00,2025-03-02 00:00:00,13.39,35.33,780.21
9,26,2024-10-04 00:00:00,2024-11-03 00:00:00,43.63,35.70,2342.05
10,3,2025-02-23 00:00:00,2025-03-25 00:00:00,23.24,16.30,2076.30
11,9,2025-03-31 00:00:00,2025-04-30 00:00:00,13.00,20.74,444.33
12,10,2025-10-26 00:00:00,2025-11-25 00:00:00,34.56,46.20,1344.80
13,15,2025-09-17 00:00:00,2025-10-17 00:00:00,46.17,48.25,3142.12
14,29,2025-11-05 00:00:00,2025-12-05 00:00:00,30.75,47.34,1176.94
15,20,2025-06-05 00:00:00,2025-07-05 00:00:00,22.43,34.15,3364.86
16,12,2024-01-20 00:00:00,2024-02-19 00:00:00,27.21,41.17,2787.89
17,28,2025-03-26 00:00:00,2025-04-25 00:00:00,29.70,15.76,3794.64
18,12,2025-10-16 00:00:00,2025-11-15 00:00:00,15.70,38.12,4747.16
19,14,2024-01-08 00:00:00,2024-02-07 00:00:00,61.67,45.74,3195.87
20,2,2025-05-04 00:00:00,2025-06-03 00:00:00,42.64,28.37,1997.36
21,25,2024-01-05 00:00:00,2024-02-04 00:00:00,99.02,29.43,761.84
22,5,2025-09-03 00:00:00,2025-10-03 00:00:00,42.05,5.67,4909.13
23,30,2025-01-16 00:00:00,2025-02-15 00:00:00,76.30,38.15,3289.56
24,30,2025-05-13 00:00:00,2025-06-12 00:00:00,64.67,17.78,4585.80
25,4,2025-10-18 00:00:00,2025-11-17 00:00:00,51.58,27.53,1266.24
