id,order_id,product_id,quantity,unit_price,discount,status_id,date_allocated,purchase_order_id,inventory_id
1,11,24,35.35,88.10,0.2049,2,2025-11-14 00:00:00,0,0
2,6,3,22.26,51.22,0.1773,4,2025-03-02 00:00:00,0,0
3,20,10,1.18,15.49,0.1640,9,2024-01-21 00:00:00,17,0
4,29,11,37.60,43.16,0.2315,0,2024-09-13 00:00:00,0,10
5,4,14,26.04,65.72,0.1320,8,2024-12-13 00:00:00,0,1
6,30,8,26.55,98.18,0.1330,7,2025-08-10 00:00:00,12,20
7,12,25,60.41,32.99,0.0863,5,2024-01-10 00:00:00,1,19
8,26,2,62.39,86.03,0.2228,7,2024-02-21 00:00:00,0,0
9,15,13,85.03,43.48,0.2167,3,2025-08-02 00:00:00,0,24
10,12,8,65.77,35.82,0.1258,8,2024-10-16 00:00:00,2,0
11,18,23,45.76,22.25,0.0623,8,2024-03-09 00:00:00,0,0
12,28,22,53.29,99.87,0.1013,2,2024-02-14 00:00:00,0,0
13,23,24,78.34,70.93,0.2345,5,2025-03-11 00:00:00,3,0
14,14,19,37.85,31.87,0.1726,1,2024-04-29 00:00:00,1,0
15,12,15,63.01,27.38,0.1196,5,2024-08-30 00:00:00,16,0
16,16,14,57.20,69.80,0.1961,5,2024-11-08 00:00:00,17,0
17,5,13,86.79,40.36,0.0207,5,2024-05-22 00:00:00,0,0
18,16,14,49.54,53.96,0.1357,5,2025-02-28 00:00:00,3,2
19,17,19,72.26,85.94,0.1489,9,2024-03-17 00:00:00,20,0
20,22,2,25.27,81.97,0.1857,0,2025-05-25 00:00:00,12,0
21,2,7,96.61,61.88,0.1518,4,2024-08-27 00:00:00,0,5
22,15,20,14.96,10.40,0.0998,6,2025-03-01 00:00:00,5,0
23,5,25,85.34,42.63,0.1954,0,2025-09-04 00:00:00,14,0
24,11,2,62.14,76.15,0.0125,7,2024-06-21 00:00:00,0,0
25,11,10,12.15,68.64,0.1575,7,2024-12-24 00:00:00,0,0
26,27,23,17.46,54.20,0.1023,5,2025-06-22 00:00:00,1,5
27,11,3,95.15,98.69,0.1851,6,2025-10-03 00:00:00,16,0
28,12,23,21.41,38.29,0.0168,8,2025-10-05 00:00:00,18,25
29,15,25,11.97,27.96,0.2209,9,2025-05-23 00:00:00,0,0
30,22,16,13.72,71.03,0.2327,7,2025-09-16 00:00:00,18,0
31,4,22,24.37,99.96,0.1073,7,2025-01-04 00:00:00,4,0
32,29,18,58.04,77.70,0.0886,1,2024-12-01 00:00:00,6,0
33,9,2,89.66,61.35,0.1459,0,2024-06-15 00:00:00,0,14
34,21,2,66.52,20.43,0.1209,7,2025-12-05 00:00:00,12,21
35,13,20,71.05,39.45,0.1056,2,2025-01-24 00:00:00,0,8
36,11,7,55.12,85.10,0.2451,3,2024-06-04 00:00:00,0,16
37,15,2,15.00,51.97,0.1196,2,2025-01-16 00:00:00,0,14
38,29,20,19.09,11.29,0.1320,8,2025-12-16 00:00:00,0,9
39,25,3,98.07,19.56,0.0478,3,2024-02-25 00:00:00,2,0
40,5,23,26.95,94.61,0.1181,8,2025-08-07 00:00:00,0,7
41,25,10,14.18,66.42,0.2382,5,2025-01-25 00:00:00,5,20
42,18,3,75.83,67.56,0.0920,5,2025-12-17 00:00:00,0,10
43,8,22,40.02,92.29,0.0189,1,2024-09-20 00:00:00,11,29
44,24,19,4.04,70.35,0.0297,1,2024-06-10 00:00:00,13,15
45,30,8,88.04,48.20,0.1715,2,2025-12-26 00:00:00,0,10
46,20,1,89.23,52.22,0.2495,5,2024-09-24 00:00:00,0,26
47,17,17,58.80,15.44,0.0414,1,2025-09-16 00:00:00,0,0
48,29,5,49.85,15.61,0.0020,6,2024-02-23 00:00:00,0,25
49,27,25,75.15,85.47,0.0875,7,2024-07-27 00:00:00,20,0
50,8,8,51.17,11.68,0.0539,2,2025-05-04 00:00:00,0,0
