id,supplier_id,created_by,submitted_date,creation_date,status_id,expected_date,shipping_fee,taxes,payment_date,payment_amount,payment_method,notes,approved_by,approved_date,submitted_by
1,10,9,2024-11-12 00:00:00,2024-11-07 00:00:00,4,2024-11-29 00:00:00,48.71,36.67,2024-11-17 00:00:00,2934.46,Check,Purchase order 1 notes,4,2024-11-14 00:00:00,1
2,10,8,2024-11-19 00:00:00,2024-11-16 00:00:00,2,2024-12-02 00:00:00,96.16,11.44,2024-11-20 00:00:00,910.04,PayPal,Purchase order 2 notes,2,2024-11-20 00:00:00,9
3,6,8,2024-04-04 00:00:00,2024-03-31 00:00:00,9,2024-04-27 00:00:00,21.65,8.37,2024-04-10 00:00:00,557.53,PayPal,Purchase order 3 notes,1,2024-04-07 00:00:00,2
4,5,4,2025-09-09 00:00:00,2025-09-06 00:00:00,6,2025-10-07 00:00:00,29.72,48.16,2025-09-17 00:00:00,1896.66,PayPal,Purchase order 4 notes,9,2025-09-10 00:00:00,2
5,10,10,2025-06-22 00:00:00,2025-06-17 00:00:00,3,2025-07-11 00:00:00,49.66,32.62,2025-07-02 00:00:00,972.19,Check,Purchase order 5 notes,8,2025-06-23 00:00:00,7
6,6,5,2024-03-29 00:00:00,2024-03-28 00:00:00,4,2024-04-10 00:00:00,74.64,43.13,2024-04-09 00:00:00,927.45,Wire Transfer,Purchase order 6 notes,5,2024-03-30 00:00:00,9
7,7,8,2024-02-24 00:00:00,2024-02-19 00:00:00,7,2024-03-10 00:00:00,76.71,29.72,2024-02-29 00:00:00,2410.64,Check,Purchase order 7 notes,7,2024-02-26 00:00:00,1
8,7,7,2025-06-23 00:00:00,2025-06-22 00:00:00,4,2025-07-07 00:00:00,54.47,9.79,2025-06-29 00:00:00,4270.57,Check,Purchase order 8 notes,5,2025-06-25 00:00:00,2
9,2,8,2025-02-27 00:00:00,2025-02-22 00:00:00,7,2025-03-12 00:00:00,90.37,27.48,2025-03-09 00:00:00,2928.16,Credit Card,Purchase order 9 notes,1,2025-03-02 00:00:00,5
10,5,10,2024-11-20 00:00:00,2024-11-16 00:00:00,8,2024-11-29 00:00:00,29.14,6.43,2024-11-28 00:00:00,2550.99,Credit Card,Purchase order 10 notes,8,2024-11-22 00:00:00,2
11,3,7,2024-02-21 00:00:00,2024-02-16 00:00:00,3,2024-03-11 00:00:00,38.72,16.88,2024-02-26 00:00:00,4770.39,Check,Purchase order 11 notes,8,2024-02-24 00:00:00,6
12,1,9,2025-07-13 00:00:00,2025-07-12 00:00:00,8,2025-08-06 00:00:00,98.92,45.67,2025-07-21 00:00:00,957.33,Wire Transfer,Purchase order 12 notes,9,2025-07-16 00:00:00,8
13,5,3,2025-03-03 00:00:00,2025-03-01 00:00:00,2,2025-03-11 00:00:00,93.67,29.92,2025-03-04 00:00:00,694.19,Credit Card,Purchase order 13 notes,7,2025-03-04 00:00:00,5
14,7,10,2024-11-26 00:00:00,2024-11-25 00:00:00,7,2024-12-14 00:00:00,66.68,19.07,2024-11-30 00:00:00,2964.57,Credit Card,Purchase order 14 notes,5,2024-11-29 00:00:00,2
15,9,7,2024-01-07 00:00:00,2024-01-06 00:00:00,5,2024-01-20 00:00:00,39.28,27.03,2024-01-13 00:00:00,3652.01,Wire Transfer,Purchase order 15 notes,2,2024-01-09 00:00:00,5
16,6,3,2024-08-15 00:00:00,2024-08-10 00:00:00,9,2024-08-28 00:00:00,76.33,48.84,2024-08-19 00:00:00,2032.87,Check,Purchase order 16 notes,1,2024-08-18 00:00:00,8
17,2,7,2025-12-18 00:00:00,2025-12-14 00:00:00,2,2026-01-12 00:00:00,49.04,8.76,2025-12-20 00:00:00,1531.54,Check,Purchase order 17 notes,1,2025-12-20 00:00:00,3
18,10,1,2024-06-22 00:00:00,2024-06-19 00:00:00,3,2024-07-12 00:00:00,77.42,7.03,2024-07-02 00:00:00,2740.92,Wire Transfer,Purchase order 18 notes,7,2024-06-23 00:00:00,2
19,2,4,2024-12-07 00:00:00,2024-12-05 00:00:00,7,2024-12-21 00:00:00,33.03,10.58,2024-12-12 00:00:00,1071.81,PayPal,Purchase order 19 notes,10,2024-12-09 00:00:00,1
20,10,3,2025-12-23 00:00:00,2025-12-19 00:00:00,7,2026-01-04 00:00:00,92.36,46.48,2025-12-27 00:00:00,2422.63,Check,Purchase order 20 notes,1,2025-12-24 00:00:00,5
